flavor,boundary,item,classification,mass_bin_low_GeV,mass_bin_high_GeV,n_mass_points,median_low_shift_pct,median_high_shift_pct,min_shift_pct,max_shift_pct,max_abs_shift_pct,n_missing_boundaries
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,4.2,4.5,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,4.5,4.8,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,4.8,5.1,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,5.1,5.3999999999999995,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,5.3999999999999995,5.699999999999999,3,,,,,,6
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,5.7,6.0,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,6.0,6.3,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,6.3,6.6,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,6.6,6.8999999999999995,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,6.8999999999999995,7.199999999999999,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,7.199999999999999,7.499999999999999,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,7.5,7.8,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,7.8,8.1,2,,,,,,4
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,8.4,8.700000000000001,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,9.0,9.3,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,9.299999999999999,9.6,1,,,,,,2
Ue,lower,current_code_rerun_proxy,direct code calculation; finite-MC proxy,9.9,10.200000000000001,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,0.0,0.3,7,41.41132778362877,0.0,0.0,41.87174163198699,41.87174163198699,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,0.3,0.6,17,41.453755607201835,0.0,0.0,41.80661342699699,41.80661342699699,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,0.6,0.8999999999999999,12,41.432837992894676,0.0,0.0,41.873480960297414,41.873480960297414,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,0.8999999999999999,1.2,12,41.56695282923164,0.0,0.0,41.878691310782635,41.878691310782635,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,1.2,1.5,12,41.467333143742536,0.0,0.0,41.91405701491293,41.91405701491293,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,1.5,1.8,12,41.58556576509743,0.0,0.0,42.16221599734447,42.16221599734447,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,1.7999999999999998,2.0999999999999996,9,42.11071719957531,0.0,0.0,42.31792648912194,42.31792648912194,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,2.1,2.4,1,43.04293757542641,0.0,0.0,43.04293757542641,43.04293757542641,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,2.4,2.6999999999999997,2,45.30926592768719,0.0,0.0,46.17439277870188,46.17439277870188,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,2.6999999999999997,2.9999999999999996,1,52.18803001216339,0.0,0.0,52.18803001216339,52.18803001216339,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,3.0,3.3,2,79.64142933716977,0.0,0.0,92.68835274747909,92.68835274747909,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,3.3,3.5999999999999996,1,146.09554951758423,0.0,0.0,146.09554951758423,146.09554951758423,0
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,3.5999999999999996,3.8999999999999995,2,230.5690576538051,0.0,0.0,230.5690576538051,230.5690576538051,1
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,3.9,4.2,1,,0.0,0.0,0.0,0.0,1
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,4.2,4.5,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,4.5,4.8,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,4.8,5.1,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,5.1,5.3999999999999995,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,5.3999999999999995,5.699999999999999,3,,,,,,6
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,5.7,6.0,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,6.0,6.3,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,6.3,6.6,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,6.6,6.8999999999999995,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,6.8999999999999995,7.199999999999999,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,7.199999999999999,7.499999999999999,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,7.5,7.8,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,7.8,8.1,2,,,,,,4
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,8.4,8.700000000000001,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,9.0,9.3,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,9.299999999999999,9.6,1,,,,,,2
Ue,lower,detector_reconstruction_efficiency,unknowable; efficiency scenario,9.9,10.200000000000001,1,,,,,,2
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,0.0,0.3,7,-0.017884844283011514,-0.07143751139554455,-0.10278480160788028,-0.011145917218124968,0.10278480160788028,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,0.3,0.6,17,-0.026131621313696396,-0.104303578652154,-14.188641478704678,-0.011977051625422508,14.188641478704678,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,0.6,0.8999999999999999,12,-4.254337038074729,-14.418778428675743,-14.576410538445206,-3.9042450820034547,14.576410538445206,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,0.8999999999999999,1.2,12,-4.266330241470051,-14.567413189493955,-14.959962988107655,-4.029672386651684,14.959962988107655,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,1.2,1.5,12,-4.35319537675794,-14.639927368131623,-14.911919718523038,-4.02342853656974,14.911919718523038,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,1.5,1.8,12,-4.146627244569445,-14.36060132053132,-14.726597051355029,-3.8346219955314065,14.726597051355029,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,1.7999999999999998,2.0999999999999996,9,-3.14472608718086,-10.916449707615673,-13.394523832142447,-2.448050642608479,13.394523832142447,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,2.1,2.4,1,-2.5315107935472425,-8.592218596416412,-8.592218596416412,-2.5315107935472425,8.592218596416412,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,2.4,2.6999999999999997,2,-2.5625396287510203,-8.986810340518197,-9.111969002017617,-2.4456299414432503,9.111969002017617,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,2.6999999999999997,2.9999999999999996,1,-2.4812717131696083,-9.358283532091626,-9.358283532091626,-2.4812717131696083,9.358283532091626,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,3.0,3.3,2,-2.4183336922457888,-8.785516243076474,-9.210380728344225,-2.331795294268879,9.210380728344225,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,3.3,3.5999999999999996,1,-2.3719055024053026,-8.736990118299392,-8.736990118299392,-2.3719055024053026,8.736990118299392,0
Ue,lower,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,3.5999999999999996,3.8999999999999995,2,-2.399407762260136,-9.215109699961605,-9.4355306344845,-2.2710002852474043,9.4355306344845,0
