# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
0.39020979  1.414458472e-05
0.390824473  1.375104187e-05
0.398329879  1.299173393e-05
0.4  1.299173393e-05
0.401398601  1.299173393e-05
0.405979419  1.227435361e-05
0.409884275  1.227435361e-05
0.413775861  1.159658575e-05
0.41750547  1.159658575e-05
0.417560218  1.159658575e-05
0.421722027  1.09437884e-05
0.428280248  1.079088534e-05
0.42982079  1.037777145e-05
0.435894675  1.003552054e-05
0.436829837  1.003552054e-05
0.438075083  9.830356024e-06
0.446487892  9.311816132e-06
0.446657992  9.293858935e-06
0.448869438  9.293858935e-06
0.45506226  8.820628618e-06
0.457147824  8.820628618e-06
0.46045066  8.637905781e-06
0.46345733  8.452770695e-06
0.463801291  8.355350677e-06
0.471017871  8.252964031e-06
0.472708146  7.914615608e-06
0.473028545  7.914615608e-06
0.481585082  7.497128803e-06
0.481786049  7.493645761e-06
0.485339168  7.493645761e-06
0.489044289  7.493645761e-06
0.491038284  7.101663944e-06
0.493168074  7.101663944e-06
0.5  7.101663944e-06
0.5004682  6.727059398e-06
0.505827506  6.586531187e-06
0.507070707  6.586531187e-06
0.508679796  6.586531187e-06
0.510079207  6.372214807e-06
0.510162416  6.372214807e-06
0.519874785  6.036087858e-06
0.529858478  5.717691216e-06
0.530691531  5.717691216e-06
0.533799534  5.717691216e-06
0.540033898  5.416089628e-06
0.547296286  5.416089628e-06
0.550404727  5.130397174e-06
0.554312354  5.02743413e-06
0.557420357  5.02743413e-06
0.560974717  4.863361495e-06
0.567365967  4.727219442e-06
0.567987568  4.727219442e-06
0.571747694  4.612258478e-06
0.57979798  4.547736672e-06
0.580160467  4.547736672e-06
0.582727556  4.374120306e-06
0.584430156  4.374120306e-06
0.584770785  4.374120306e-06
0.586013986  4.374120306e-06
0.586889202  4.284200424e-06
0.593918275  4.148277582e-06
0.595959596  4.148277582e-06
0.596581197  4.148277582e-06
0.597684738  4.148277582e-06
0.6  4.056275378e-06
0.605323902  3.934095474e-06
0.608391608  3.934095474e-06
0.614607615  3.781421375e-06
0.616472416  3.781421375e-06
0.616948562  3.730971926e-06
0.621564027  3.692182802e-06
0.623310023  3.644507841e-06
0.624553225  3.644507841e-06
0.628796463  3.538335967e-06
0.633877234  3.490324257e-06
0.637232479  3.490324257e-06
0.64009324  3.490324257e-06
0.640871891  3.375118124e-06
0.644444444  3.328431073e-06
0.65003885  3.328431073e-06
0.653099927  3.220891569e-06
0.653179216  3.220891569e-06
0.655633256  3.220891569e-06
0.658697897  3.169933384e-06
0.663092463  3.125991371e-06
0.665722891  3.073712421e-06
0.666645078  3.073712421e-06
0.669308469  3.049640908e-06
0.678507456  2.933258647e-06
0.679254079  2.933258647e-06
0.682362082  2.889418207e-06
0.691537535  2.799222931e-06
0.695831767  2.799222931e-06
0.696037296  2.799222931e-06
0.7  2.73504518e-06
0.704817845  2.680666622e-06
0.707075128  2.680666622e-06
0.711577312  2.653502226e-06
0.712198912  2.653502226e-06
0.716280432  2.653502226e-06
0.71835319  2.579728968e-06
0.722766123  2.579728968e-06
0.727738928  2.51470956e-06
0.732148469  2.481380507e-06
