event,	id,	pt,	eta,	phi,	momentum,	mass
11145,	6000113,	76.0278,	-2.35075,	-2.31217,	402.518,	15
11145,	-6000113,	37.6228,	-3.58808,	1.39579,	680.826,	15
11146,	6000113,	66.142,	2.49495,	1.66284,	403.585,	15
11146,	-6000113,	81.7787,	1.31933,	0.385358,	163.894,	15
11147,	6000113,	28.5993,	4.13635,	1.31755,	895.016,	15
11147,	-6000113,	83.103,	2.20132,	0.187734,	380.095,	15
11148,	6000113,	85.0175,	3.22249,	-2.51317,	1068.26,	15
11148,	-6000113,	26.3534,	1.07282,	2.41637,	43.0305,	15
11149,	6000113,	14.8865,	1.43819,	-1.53487,	33.1256,	15
11149,	-6000113,	42.2754,	4.13087,	-1.72637,	1315.78,	15
11150,	6000113,	150.604,	-1.19298,	1.23292,	271.101,	15
11150,	-6000113,	10.2907,	-3.64382,	-0.181036,	196.88,	15
11151,	6000113,	155.503,	-0.179859,	-0.594595,	158.025,	15
11151,	-6000113,	18.3779,	1.06997,	-2.86568,	29.9404,	15
11152,	6000113,	12.6097,	-3.11249,	-2.51701,	141.993,	15
11152,	-6000113,	54.5699,	0.129148,	2.58022,	55.0256,	15
11153,	6000113,	75.3284,	-0.220797,	2.26374,	77.1721,	15
11153,	-6000113,	53.6343,	-0.180269,	-0.319516,	54.5081,	15
11154,	6000113,	40.2381,	-2.76837,	-2.28441,	321.811,	15
11154,	-6000113,	82.6487,	-1.25629,	-0.341567,	156.912,	15
11155,	6000113,	43.8536,	3.0019,	-2.50855,	442.341,	15
11155,	-6000113,	48.5394,	4.59738,	1.22059,	2408.38,	15
11156,	6000113,	52.6771,	-1.01866,	-1.99667,	82.4547,	15
11156,	-6000113,	77.8065,	-1.13405,	0.654895,	133.436,	15
11157,	6000113,	89.1646,	-2.13615,	0.233918,	382.735,	15
11157,	-6000113,	37.2739,	-3.0694,	-2.50062,	402.099,	15
11158,	6000113,	79.5302,	0.546048,	1.32546,	91.6844,	15
11158,	-6000113,	48.3061,	1.39747,	-1.81659,	103.669,	15
11159,	6000113,	65.3965,	-1.49503,	-1.01933,	153.149,	15
11159,	-6000113,	57.6311,	-1.66131,	2.24244,	157.22,	15
11160,	6000113,	49.2881,	0.890208,	-2.16132,	70.1421,	15
11160,	-6000113,	84.2574,	1.31268,	0.351521,	167.893,	15
11161,	6000113,	128.904,	1.55507,	-1.22963,	318.816,	15
11161,	-6000113,	45.306,	1.70226,	1.28763,	128.411,	15
11162,	6000113,	59.7093,	-2.44537,	0.971964,	346.955,	15
11162,	-6000113,	71.0368,	-2.98324,	-2.36612,	703.346,	15
11163,	6000113,	61.9897,	2.11332,	2.60933,	260.248,	15
11163,	-6000113,	22.7117,	0.0299364,	-1.50831,	22.7219,	15
11164,	6000113,	61.8189,	-0.889111,	2.44533,	87.9062,	15
11164,	-6000113,	61.3471,	-1.13105,	-0.352981,	104.953,	15
11165,	6000113,	172.394,	-1.88933,	-2.81909,	583.218,	15
11165,	-6000113,	186.83,	-1.94102,	0.0553659,	664.124,	15
11166,	6000113,	60.6521,	-0.441769,	0.837278,	66.6674,	15
11166,	-6000113,	69.6025,	-1.77168,	-0.693177,	210.575,	15
11167,	6000113,	42.3217,	0.733405,	-0.408833,	54.2232,	15
11167,	-6000113,	93.83,	0.583585,	2.38189,	110.267,	15
11168,	6000113,	13.6202,	2.87602,	-2.81546,	121.22,	15
11168,	-6000113,	49.4418,	-0.520963,	3.09703,	56.3043,	15
11169,	6000113,	121.393,	-0.148763,	2.36371,	122.739,	15
11169,	-6000113,	31.3681,	-0.844807,	-0.508119,	43.2436,	15
11170,	6000113,	57.7658,	-1.10576,	-0.181566,	96.8297,	15
11170,	-6000113,	46.5538,	-2.50289,	-2.71583,	286.297,	15
11171,	6000113,	29.0166,	-4.2771,	0.648892,	1045.25,	15
11171,	-6000113,	98.0844,	-3.11136,	-2.85301,	1103.26,	15
11172,	6000113,	48.7739,	0.0836935,	1.60835,	48.9448,	15
11172,	-6000113,	128.983,	0.0389757,	-1.40781,	129.081,	15
11173,	6000113,	59.5932,	-1.95112,	2.57868,	213.9,	15
11173,	-6000113,	61.6471,	-1.6291,	-0.443028,	163.223,	15
11174,	6000113,	51.845,	-1.41068,	-0.0276488,	112.575,	15
