# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   2.0202   -0.8182 2.4066e+08
   2.0202   -0.7576 2.4108e+08
   2.0202   -0.6970 2.4147e+08
   2.0202   -0.6364 2.4183e+08
   2.0202   -0.5758 2.4215e+08
   2.0202   -0.5152 2.4244e+08
   2.0202   -0.4545 2.4270e+08
   2.0202   -0.3939 2.4293e+08
   2.0202   -0.3333 2.4313e+08
   2.0202   -0.2727 2.4329e+08
   2.0202   -0.2121 2.4343e+08
   2.0202   -0.1515 2.4353e+08
   2.0202   -0.0909 2.4360e+08
   2.0202   -0.0303 2.4364e+08
   2.0202    0.0303 2.4364e+08
   2.0202    0.0909 2.4360e+08
   2.0202    0.1515 2.4353e+08
   2.0202    0.2121 2.4343e+08
   2.0202    0.2727 2.4329e+08
   2.0202    0.3333 2.4313e+08
   2.0202    0.3939 2.4293e+08
   2.0202    0.4545 2.4270e+08
   2.0202    0.5152 2.4244e+08
   2.0202    0.5758 2.4215e+08
   2.0202    0.6364 2.4183e+08
   2.0202    0.6970 2.4147e+08
   2.0202    0.7576 2.4108e+08
   2.0202    0.8182 2.4066e+08
   2.0202    0.8788 2.4021e+08
   2.0202    0.9394 2.3972e+08
   2.0202    1.0000 2.3921e+08
   2.0202    1.0606 2.3866e+08
   2.0202    1.1212 2.3807e+08
   2.0202    1.1818 2.3746e+08
   2.0202    1.2424 2.3680e+08
   2.0202    1.3030 2.3612e+08
   2.0202    1.3636 2.3540e+08
   2.0202    1.4242 2.3464e+08
   2.0202    1.4848 2.3385e+08
   2.0202    1.5455 2.3302e+08
   2.0202    1.6061 2.3216e+08
   2.0202    1.6667 2.3126e+08
   2.0202    1.7273 2.3032e+08
   2.0202    1.7879 2.2934e+08
   2.0202    1.8485 2.2832e+08
   2.0202    1.9091 2.2726e+08
   2.0202    1.9697 2.2617e+08
   2.0202    2.0303 2.2503e+08
   2.0202    2.0909 2.2385e+08
   2.0202    2.1515 2.2263e+08
   2.0202    2.2121 2.2136e+08
   2.0202    2.2727 2.2006e+08
   2.0202    2.3333 2.1870e+08
   2.0202    2.3939 2.1730e+08
   2.0202    2.4545 2.1586e+08
   2.0202    2.5152 2.1437e+08
   2.0202    2.5758 2.1283e+08
   2.0202    2.6364 2.1124e+08
   2.0202    2.6970 2.0961e+08
   2.0202    2.7576 2.0792e+08
   2.0202    2.8182 2.0619e+08
   2.0202    2.8788 2.0440e+08
   2.0202    2.9394 2.0257e+08
   2.0202    3.0000 2.0068e+08
   2.5253   -3.0000 1.4418e+08
   2.5253   -2.9394 1.4582e+08
   2.5253   -2.8788 1.4742e+08
   2.5253   -2.8182 1.4898e+08
   2.5253   -2.7576 1.5050e+08
   2.5253   -2.6970 1.5199e+08
   2.5253   -2.6364 1.5343e+08
   2.5253   -2.5758 1.5484e+08
   2.5253   -2.5152 1.5620e+08
   2.5253   -2.4545 1.5753e+08
   2.5253   -2.3939 1.5882e+08
   2.5253   -2.3333 1.6007e+08
   2.5253   -2.2727 1.6129e+08
   2.5253   -2.2121 1.6246e+08
   2.5253   -2.1515 1.6360e+08
   2.5253   -2.0909 1.6471e+08
   2.5253   -2.0303 1.6578e+08
   2.5253   -1.9697 1.6681e+08
   2.5253   -1.9091 1.6781e+08
   2.5253   -1.8485 1.6877e+08
   2.5253   -1.7879 1.6970e+08
   2.5253   -1.7273 1.7060e+08
   2.5253   -1.6667 1.7146e+08
   2.5253   -1.6061 1.7228e+08
   2.5253   -1.5455 1.7308e+08
   2.5253   -1.4848 1.7384e+08
   2.5253   -1.4242 1.7457e+08
   2.5253   -1.3636 1.7527e+08
   2.5253   -1.3030 1.7594e+08
   2.5253   -1.2424 1.7657e+08
   2.5253   -1.1818 1.7718e+08
   2.5253   -1.1212 1.7775e+08
   2.5253   -1.0606 1.7830e+08
   2.5253   -1.0000 1.7881e+08
   2.5253   -0.9394 1.7929e+08
   2.5253   -0.8788 1.7974e+08
   2.5253   -0.8182 1.8017e+08
   2.5253   -0.7576 1.8056e+08
   2.5253   -0.6970 1.8092e+08
   2.5253   -0.6364 1.8126e+08
   2.5253   -0.5758 1.8156e+08
   2.5253   -0.5152 1.8183e+08
   2.5253   -0.4545 1.8208e+08
   2.5253   -0.3939 1.8229e+08
   2.5253   -0.3333 1.8247e+08
   2.5253   -0.2727 1.8263e+08
   2.5253   -0.2121 1.8275e+08
   2.5253   -0.1515 1.8285e+08
   2.5253   -0.0909 1.8291e+08
   2.5253   -0.0303 1.8295e+08
   2.5253    0.0303 1.8295e+08
   2.5253    0.0909 1.8291e+08
   2.5253    0.1515 1.8285e+08
   2.5253    0.2121 1.8275e+08
   2.5253    0.2727 1.8263e+08
   2.5253    0.3333 1.8247e+08
   2.5253    0.3939 1.8229e+08
   2.5253    0.4545 1.8208e+08
   2.5253    0.5152 1.8183e+08
   2.5253    0.5758 1.8156e+08
   2.5253    0.6364 1.8126e+08
   2.5253    0.6970 1.8092e+08
   2.5253    0.7576 1.8056e+08
   2.5253    0.8182 1.8017e+08
   2.5253    0.8788 1.7974e+08
   2.5253    0.9394 1.7929e+08
   2.5253    1.0000 1.7881e+08
   2.5253    1.0606 1.7830e+08
   2.5253    1.1212 1.7775e+08
   2.5253    1.1818 1.7718e+08
   2.5253    1.2424 1.7657e+08
   2.5253    1.3030 1.7594e+08
   2.5253    1.3636 1.7527e+08
   2.5253    1.4242 1.7457e+08
   2.5253    1.4848 1.7384e+08
   2.5253    1.5455 1.7308e+08
   2.5253    1.6061 1.7228e+08
   2.5253    1.6667 1.7146e+08
   2.5253    1.7273 1.7060e+08
   2.5253    1.7879 1.6970e+08
   2.5253    1.8485 1.6877e+08
   2.5253    1.9091 1.6781e+08
   2.5253    1.9697 1.6681e+08
   2.5253    2.0303 1.6578e+08
   2.5253    2.0909 1.6471e+08
   2.5253    2.1515 1.6360e+08
   2.5253    2.2121 1.6246e+08
   2.5253    2.2727 1.6129e+08
   2.5253    2.3333 1.6007e+08
   2.5253    2.3939 1.5882e+08
   2.5253    2.4545 1.5753e+08
   2.5253    2.5152 1.5620e+08
   2.5253    2.5758 1.5484e+08
   2.5253    2.6364 1.5343e+08
   2.5253    2.6970 1.5199e+08
   2.5253    2.7576 1.5050e+08
   2.5253    2.8182 1.4898e+08
   2.5253    2.8788 1.4742e+08
   2.5253    2.9394 1.4582e+08
   2.5253    3.0000 1.4418e+08
   3.0303   -3.0000 9.9708e+07
   3.0303   -2.9394 1.0101e+08
   3.0303   -2.8788 1.0228e+08
   3.0303   -2.8182 1.0352e+08
   3.0303   -2.7576 1.0474e+08
   3.0303   -2.6970 1.0592e+08
   3.0303   -2.6364 1.0708e+08
   3.0303   -2.5758 1.0820e+08
   3.0303   -2.5152 1.0931e+08
   3.0303   -2.4545 1.1038e+08
   3.0303   -2.3939 1.1142e+08
   3.0303   -2.3333 1.1243e+08
   3.0303   -2.2727 1.1342e+08
   3.0303   -2.2121 1.1437e+08
   3.0303   -2.1515 1.1530e+08
   3.0303   -2.0909 1.1620e+08
   3.0303   -2.0303 1.1708e+08
   3.0303   -1.9697 1.1792e+08
   3.0303   -1.9091 1.1874e+08
   3.0303   -1.8485 1.1953e+08
   3.0303   -1.7879 1.2029e+08
   3.0303   -1.7273 1.2103e+08
   3.0303   -1.6667 1.2173e+08
   3.0303   -1.6061 1.2241e+08
   3.0303   -1.5455 1.2307e+08
   3.0303   -1.4848 1.2370e+08
