mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
1.59,1199988,12418,True,15.294382215695943,3.5349546455892485e-08,1.3341841176145294e-08,8.527005507536453e-08,False,False,25060.786546457064,2251.944901493978,0.0015173234477152294,22797.519436774117,1825.570409148455,0.00231556825155064,6002.870650665847,527.5678414317952,0.009301539805020513,
1.6,1199988,12291,True,15.104256442127337,3.447735740379197e-08,1.3138123361708256e-08,8.062290038385576e-08,False,False,27477.215645535925,2241.6211529166317,0.0015507359297200738,23164.138527639017,1783.500645406249,0.002120354808054697,6707.593163686366,560.7865412285931,0.012404059542467177,
1.65,1199988,12525,True,13.904285514451935,3.3489057258209694e-08,1.3208810037287014e-08,7.752403080199535e-08,False,False,31133.23930390284,2288.118148040462,0.002325229960972969,25794.268707091902,1775.4306120348701,0.002317654023692765,7195.311593288643,548.7580149113898,0.008916403385331681,
1.7,1199988,12454,True,14.019051312922793,3.311351111165557e-08,1.2957136160471423e-08,7.464868731906525e-08,False,False,33709.75835348652,2274.729694029971,0.0015116650959578666,29352.74934114002,1810.6446477616591,0.0019373630101465582,9507.356254908042,669.1729897928993,0.00853501301370101,
1.75,1199988,12326,True,14.290147121805388,3.328907162649777e-08,1.2946263576712257e-08,7.621181579005067e-08,False,False,38063.91956413394,2350.7299043455114,0.0013788563671281273,32563.087660550846,1835.1565703790732,0.002486605544053873,9847.4503878141,627.9437619657236,0.007233336566306493,
1.8,1199988,12328,True,15.468510540858997,3.489183789047674e-08,1.3161400128071788e-08,8.169297261915291e-08,False,False,40336.929199821854,2330.5613951818937,0.0013143845348634238,34375.27315730363,1777.8672862427145,0.002148191799868935,10272.386700013076,600.7626295078409,0.008135360403137873,
1.85,1199988,12147,True,16.619078378570546,3.669332098312359e-08,1.3596807112791454e-08,8.891662681795033e-08,False,False,41024.51593317869,2219.398982639578,0.0016973223654667424,36171.73318161087,1780.9061564331555,0.002139813735387361,10134.971918813611,558.2303730833585,0.010152905044722722,
1.9,1199988,12177,True,19.940464646248635,3.9950658881303055e-08,1.3923525813067452e-08,9.975855608286634e-08,False,False,42946.08079512218,2280.4720215447524,0.001411743545467938,38286.339413007845,1785.6337269715561,0.0020328324488447743,10805.417312767424,599.5490142690469,0.007369410129822575,
1.95,1199988,12216,True,24.817150237709594,4.324771013515474e-08,1.416579101450721e-08,1.1245687043511551e-07,False,False,45077.23609743706,2330.6511026376397,0.0013377830929766482,41038.031584513374,1833.704851267592,0.001943263322344103,10004.556517028606,505.7206347432497,0.009678224094517194,
2.0,1199988,12233,True,26.46362470261405,4.7511262601529406e-08,1.515736988083835e-08,1.2460279278929228e-07,False,False,61530.72554408491,2366.2692254840076,0.0012002462818755484,57084.832093610625,1723.3798535486533,0.0021479439243691123,15450.937015391883,507.51892272284084,0.00987569814112619,
2.05,1199988,12279,True,25.22300535510473,4.5941459313169374e-08,1.5003951038039486e-08,1.2023038339672778e-07,False,False,61825.04681011087,2347.5578290892076,0.001261337137666167,59810.17587433476,1799.8632138934822,0.0017963702031471563,16348.852228464362,541.1310316157644,0.008371799235324922,
